id,creatorId,world/0,name,description,notes,image/0,recommendedAttributes/0,recommendedAttributes/1,recommendedAttributes/2,recommendedStats/0,recommendedStats/1,requirements/0,requirements/1,requirements/2,ranks/0/type,ranks/0/id/0,ranks/1/type,ranks/1/id/0,ranks/1/id/1,ranks/2/type,ranks/2/id/0,ranks/3/type,ranks/3/id/0,ranks/4/type,ranks/4/id/0,ranks/4/id/1,ranks/5/type,ranks/5/id/0,ranks/6/type,ranks/6/id/0,ranks/7/type,ranks/7/id/0,ranks/7/id/1,ranks/8/type,ranks/8/id/0,ranks/0/id/1,ranks/2/id/1,ranks/6/id/1,ranks/8/id/1,ranks/3/id/1,ranks/0/id/2,ranks/3/id/2,ranks/6/id/2,,
1,1,1,Alchemist,"Using alteration, crafting, and alchemy to  create and prepare explosives, grenades, and more. Change iron to steel, copper to gold.",,,Int,Acc,Dex,MP,Spd,Successfully disassemble a grenade and learn the base elements used to make it.,Successfully cast 3 spells with the aide of your Alchemical Formulae during combat.,Modify grenades with your alchemical spells to create 3 new and unique grenade types,power,86,spells,4,5,stunt,66,power,87,spells,10,11,power,88,power,89,spells,18,19,power,90,,,,,,,,,,
2,1,1,Assassin,"Focuses on stealth, silence, and one-shot kills.",,,Dex,Acc,Per,Spd,HP,Successfully perform 3 sneak attacks,Assassinate and kill a target with a sneak attack on 3 separate occasions.,Assassinate and kill a public or famous figure without being caught.,power,91,stunt,68,,action,26,power,92,power,93,,power,94,power,95,power,96,,power,97,,,,,,,,,,
3,1,1,Barbarian,"Less is more, they seek victory by brute strength alone. No trickery here.",,,Str,End,Acc,HP,Spd,"Avoid the use of any advanced tech, computerized tech, or any technology that runs off of energy cells and do not cast spells.",Avoid the use of any technology or tool that is intricate in design or would confuse a barbarian. & Must be able to charge attack.,"Smash a confusing technological device worth at least 100,000 Credits.",power,98,stunt,69,,action,27,power,99,power,100,,power,101,power,102,stunt,70,,power,103,,,,,,,,,,
4,1,1,Bard,Influencing others is the way to play. Use story and song to save the day.,,,Cha,Dex,Hrt,Spd,HP,"Know how to play an instrument, and successfully make a Cha (Performance) test to please a small crowd of 5 people.",Successfully make a Cha (Performance) test to please a crowd of 50 or more people.,Successfully make a Cha (Performance) test to please a crowd of 500 or more people. At least one public figure or famous person must be in attendance.,action,28,action,29,,action,30,action,31,action,32,,power,104,power,105,power,106,,action,33,,,,,,,,,,
5,1,1,Beastmaster,Let your animal friends do all the dirty work. Gotta catch em all! ,,,Hrt,Wis,Dex,MP,HP,Successfully have tamed at least one creature (see Animal Taming talent),Currently are travelling with at least 2 tamed creatures. (see Animal Taming talent),Successfully have tamed a Dire Threat creature.,spells,24,stunt,71,,power,107,spells,31,power,108,,power,109,spells,38,power,110,,power,111,,,,,,,,,,
6,1,1,Berserker,"Rage fuels these mighty warriors, they can ignore pain, and they fight to the end past what would kill a normal warrior.",,,Str,Hrt,End,HP,Spd,Attack and kill a creature that enraged you.,"Survive a battle in which you were outnumbered, frenzied, and with less than 1/4 of your max HP remaining",Survive a combat encounter vs at least 5 opponents in which you were frenzied and dealt the finishing blow to all of the enemies.,action,34,stunt,72,,action,35,power,112,power,113,,power,114,power,115,power,116,,power,117,,,,,,,,,,
7,1,1,Blood Mage,Bloodmages have found a way to cast their spells without relying on MP. By using blood they gain power and manipulate arcana.,,,Int,Wis,Cha,HP,Spd,"Drain the blood of a person, and use it to fuel your spells.",Fully submerge yourself in blood while resting for 8 hours and awaken Well Rested,In a single encounter cast Blood Mage spells with the sum of their MP costs totaling 100 or more.,spells,51,power,118,,spells,67,power,119,spells,15,117,action,36,spells,156,power,120,,spells,43,162,190,180,135,,,,,,
8,1,1,Blooded,"The blooded absorb power from the flesh & blood of those they have slain. They are often associated with serial killers and cannibals, however some choose to only eat the flesh of animals and creatures.",,,End,Dex,Hrt,HP,Spd,Consume the raw flesh and blood of a creature you have slain.,Consume the flesh of at least 5 people OR completely consume a creature of Major threat or higher,Consume the flesh of at least 50 people OR completely consume a creature of Dire threat or higher,action,37,power,121,,power,122,power,123,power,124,,power,125,power,126,power,127,,power,128,,,,,,,,,,
9,1,1,Champion,"Rallying their allies on the battlefield, the champion gives even the worst outcomes hope.",,,End,Hrt,Dex,HP,Spd,Inspire a disheartened character to have hope. ,Rally and protect an ally that has entered a dying state. Do not let them die.,Successfully champion your team to victory after at least 3 teammates fall into a dying state.,action,38,stunt,73,,power,129,power,130,power,131,,power,132,power,133,power,134,,power,135,,,,,,,,,,
10,1,1,Cleric,"The worlds greatest healers, able to mend bones, cure disease, and even prevent death.",,,Int,End,Hrt,MP,HP,"Heal a non party member who is injured, sick, or in pain.",Help others recover a total of 150 recovered HP.,Save 5 total people who were on the brink of death with your healing.,spells,173,stunt,74,,power,136,spells,177,power,137,,power,138,spells,183,power,139,,power,140,174,,184,,178,,,,,
11,1,1,Commander,The true leader on the battlefield. Commanding their armies and allies from the frontlines. The commander will bring their people victory.,,,Cha,End,Wis,HP,Spd,Lead an NPC to victory in battle.,Lead a group of at least 2 NPCs who have sworn themselves to you through 3 total combat encounters.,Lead and win a battle in which you and your followers were outnumbered and outclassed with 0 casualties.,power,141,stunt,75,,action,39,power,142,power,143,,power,144,power,145,power,146,,power,147,,,,,,,,,,
12,1,1,Death Knight,"A lone knight falls amongst his slain comrades. As they lay dying, the knight's hatred and regret grows to the point where they will evade death until they have taken their revenge.",,,End,Str,Acc,HP,Spd,Have a near death experience. Be willing to do anything to avoid death.,Fall below 0 HP a total of 3 times.,Be reduced to nothing more than a skeleton as a Death Knight.,power,148,power,149,,power,150,power,151,action,40,,power,152,power,153,power,154,,power,155,,,,,,,,,,
13,1,1,Delver,Explorer of the vast lands and ruins of the world. Careful not to delve into a dungeon deeper than you can climb out!,,,Per,Dex,Int,Spd,HP,Successfully enter and fully explore a hostile base/dungeon/cave etc.,Use your exploration drone to detect 3 traps or detection systems without triggering them.,Use your exploration drone to scan enemies on 5 unique occasions.,power,156,stunt,76,,power,157,stunt,77,power,158,,power,159,power,160,power,161,,power,162,,,,,,,,,,
14,1,1,Druid,"Friend to nature, you would rather be around plants and spend time in your garden than among people. Manipulate plants to attack your foes and cast powerful support spells using them.",,,Wis,Hrt,Per,MP,HP,Spend at least 1 hour per day surrounded by nature.,You must now always sleep surrounded by nature.,"You cannot be separated from nature for more than 8 hours, or you will lose your Druidic powers until your rest among nature again.",spells,25,power,163,,power,164,spells,32,power,165,,power,166,spells,39,power,167,,power,168,26,,40,,33,,,,,
15,1,1,Drunken Master,"Your body has adapted to alcohol, and now gains power and strength from drinking.",,,Dex,End,Acc,Spd,HP,Become wasted on 5 separate occasions.,Survive after entering the Dying state on the Sobriety table.,Spend 1 week straight while intoxicated.,power,169,stunt,78,,power,170,power,171,power,172,,power,173,power,174,power,175,,power,176,,,,,,,,,,
16,1,1,Duelist,"You have two hands, why not use two weapons? Seriously what a waste.",,,Acc,Str,Dex,HP,Spd,Successfully make at least 3 melee attacks with 2 different weapons during a single combat encounter.,Successfully make at least 7 melee attacks with 2 different weapons during a single combat encounter.,Successfully make at least 12 melee attacks with 2 different weapons during a single combat encounter.,action,41,stunt,79,,power,177,power,178,action,42,,power,179,power,180,power,181,,action,43,,,,,,,,,,
17,1,1,Elemancer,"Only the Avatar, master of all the elements, could stop them, but when the world needed them most, they vanished. (go deep with one or shallow with many)",,,Int,Dex,Hrt,MP,HP,Learn the novice level spells for a single element.,Learn all of the spells for a single element.,Learn all of the spells for two or more elements.,spell choice,elemancy,stunt,80,,spell choice,elemancy,power,182,spell choice,elemancy,,power,183,spell choice,elemancy,power,184,,power,185,,,,,,,,,,
18,1,1,Engineer,"You make it your goal to design, build, and modify weapons and armor to suit your needs. Plasma sword anyone? Mech suit? ",,,Dex,Int,Per,Spd,MP,Successfully make modifications on 3 tools or weapons to improve them.,Construct a BPE and install either a PAC or PJC,"Fully kit out a BPE made from either Black Steel, Orichalcum, or Tritanium with a powered weapon and visual modifier",power,186,stunt,81,,power,187,stunt,82,power,188,,power,189,power,190,power,191,,power,192,,,,,,,,,,
