id,name,actionType,description,origin
1,Melee Attack,Major,You attack one adjacent enemy in hand-to-hand combat. An enemy within your melee weapon's range is considered adjacent.,default
2,Ranged Attack,Major,You fire or throw a missile weapon at one visible enemy within range. If they are outside of your short range but still within your long range you suffer a -2 to hit.,default
3,Defend,Major,"You concentrate on defending yourself this round. Until the beginning of your next turn, you gain a +2 bonus to your Defense. ",default
4,Sprint,Major,Move up to double your movement speed in meters.,default
5,Improvise,Major,"This is a situational action in which a player will announce to the GM what they want to do. The GM will decide if the action is possible, the TN(s) of the roll(s) required, as well as the how many conviction or doubles points may also be necessary.",default
6,Sneak Attack,Major,"A special type of Melee or Ranged attack (see above) in which the attacker must have successfully passed a Dex (Stealth) test vs the target and the target must not be currently engaged in combat. IF these conditions are met, then the attacker gains +3 towards hitting the target.",default
7,Targeted Attack,Major,"Do this before your attack roll. Select one body part from the Targeting List and declare that to be what you are attacking. The target's defense is considered to be increased by the amount listed depending on where you have targeted. If you are successful the target suffers from the additional effect that is listed, if you are unsuccessful then your attack is considered to have missed. Some creatures may be immune to certain targeting attacks. This action can be combined with a sneak attack. ",default
8,Cast Spell,Variable,"You attempt to cast a spell using 1 of the three spell casting methods, which requires a casting roll. This may be a major action, minor action, or free action depending on the spell and the stunts used.",default
9,Concentrate,Minor,"While concentrating you must give up one of your minor actions on your turn. Concentration will be broken if you take damage, gain fatigue, or are affected by an affliction (such as poisoned, burning, or drunk). You may only concentrate on 1 spell at a time.",default
10,Reload,Variable,"You reload a ranged weapon. This may be a major action, minor action, or free action depending on the weapon, your unlocked abilities, and the stunts used. ",default
11,Activate,Minor,"You can unsheathe a weapon, pull out and drink a potion, or otherwise ready an item that is stowed. As part of this action, you can put away something already in hand. You could thus put away your bow and a draw a sword, for example. ",default
12,Aim,Minor,Carefully take the time to plan out your next attack. The next melee or ranged attack you make gains a +1 to hitting the target.,default
13,Attack of Opportunity,Minor,"This action cannot be performed on your turn. If a foe you are engaged with attempts to flee from melee combat or tries to move past you, you may make an attack against them by foregoing your next minor action. This attack suffers a -2 to hit.",default
14,Prepare,Minor,"Do this before your major action. Select one major action that you will prepare to execute and then end your turn. Any time until your next turn, you can interrupt another character and take your prepared action immediately. If you don’t use it by your next turn, the prepared action is lost. ",default
15,Stand Firm,Minor,"Until the beginning of your next turn, any enemy who attempts to physically move you or knock you prone must succeed in an opposed test of their Str (Grappling) vs. either your Str (Grappling) OR Dex (Balance) in order to move you or knock you prone.",default
16,Move,Minor,"You can move up to your Speed in meters. You can also go prone, stand up, mount or dismount a horse or vehicle.  If you are swimming, climbing, or sneaking you move at 1/2 movement speed.",default
17,Breather,Rest,"After a combat encounter you can take a quick breather. This will allow you to recover from being weary (fatigue lvl 1), heal you by your End in HP (minimum 1), and restore MP equal to your Hrt (minimum 1). You can only take one breather after each encounter. If you ended the encounter at 0 HP, you cannot take a breather at all.",default
18,Short Rest,Rest,You take a nap. This heals you by 2 times your End in HP (minimum 2) and recovers MP equal to 2 times your MP (minimum 2). This will also recover you from being Drained (lvl 2 fatigue). You can only take 1 short rest per day and must wait at least 6 hours in between a short rest and long rest.,default
19,Long Rest,Rest,"You get a good night's rest. This heals you by 3 times your End in HP (minimum 3) and recovers MP equal to 3 times your MP (minimum 3). This will also restore you to the fatigue level Well Rested. If your sleep is interrupted for any reason, you will not awaken Well Rested. You also cannot become well rested if you fell asleep while Exhausted (lvl 3 fatigue) or suffering from the effects of an affliction. ",default
20,Conviction,Free,"Conviction points may be spent at any point during the combat encounter, regardless of whose turn it is. You may only spend 1 conviction point per round. You may not use conviction points while in a dying state, and the timing of when the effects of a conviction action is up to the GM's discretion. Conviction points are awarded by the GM whenever a player completes one of their goals, rolls a ""Legendary"" test result, completes a quest, or otherwise impresses the GM.",default
21,Regenerate,Major,Restore HP equal to 1d6+End.,racial
22,Charge Attack,Major,You may move up to half your Speed (rounded down) in meters in a straight line and then make a Melee Attack against an adjacent enemy. You gain a +1 bonus on your attack roll. ,level table
23,Scan Weakness,Major,"Roll a Per (Searching) Test vs your opponent's End (Pain Res). If you win, your next attack will get +2 to hit the target. You may also communicate this to your allies as an additional minor action to grant them the same bonus.",level table
24,Plan of Action,Minor,Gain 1 free doubles point to use on your turn. (You must declare this action prior to using a stunt),level table
25,Juggernaut Rush,Major,Roll a melee attack test and then move up to half your movement speed (rounded down) in a straight line hitting all foes with your attack along the way.,level table
26,Analytical Eye,Minor,Examine a humanoid target that you can see within 10 m of you to attempt to determine their weakness. Gain +2 towards targeting tests against this foe for the remainder of the encounter.,specialization
27,Reckless Attack,Major,Sacrifice 2 defense to deal a bonus 1d6 physical damage with a melee attack. Effects last until your next turn.,specialization
28,Bardic Inspiration,Major,"Give your Bardic Inspiration to someone, granting them a 1d6 to add to any roll of their choice for the next 15 min. You may only give your bardic inspiration to 1 person at a time. ",specialization
29,Song of Deliverance,Minor,Use uplifting music to rescue all your nearby allies from any mind-influencing effects. (GM discretion),specialization
30,Song of Rest,Major,Use soothing music to revitalize all your nearby allies' HP by 1d6 + your Charisma attribute + your Performance focus modifier,specialization
31,Song of Thrashing,Major,Use hectic music to deal penetrating damage to all enemies who hear it by 1d6 + your Charisma attribute + your Performance focus modifier.,specialization
32,Song of Haste,Major,"Pick up the tempo of combat for your allies. Select an ally, on that ally’s next turn they will gain an additional minor action and double movement speed.",specialization
33,Song of Love,Major,"Play a pacifying sonnet to calm all who hear it to cease combat as long as you are playing. A creature may make a TN 18 Hrt (Self-Discipline) test to resist the effects. If a pacified creature takes damage, they are freed from the song's effects, and may immediately take a major action.",specialization
34,Berserk,Minor,"Become enraged entering a Berserk State: granting you +2 Str, +1 Hrt, and +1 End, but you suffer -2 Cha, -1 Per, -1 Dex, and -1 Int. These effects last for 3 rounds.",specialization
35,Frenzy,Minor,"Frenzy (minor action) - If you are currently in the Berserk state, you may now enter a Frenzied State as a minor action. While frenzied you may make melee attacks as minor actions. However at the end of the encounter you gain a level of fatigue for every minor attack you make. 

DANGER: This could kill you",specialization
36,Blood Regeneration,Minor,You may recover 10 HP in exchange for 5 MP.,specialization
37,Consume Flesh,Major,"Eating the raw flesh of a recently slain creature will grant you a temporary +1 bonus to an attribute that corresponds to which parts you eat. Doing so during battle is a major action, this bonus lasts 1 hour, and you may have no more than 3 bonuses at a time. See note or consult GM to determine which attribute corresponds to which body parts have been consumed.

End - leg muscle
Str - arm muscle
Acc - hand
Dex - feet
Per - eyes or ears
Cha - tongue
Hrt - heart
Int - brain
Wis - blood",specialization
38,Rally,Minor,"All allies within 15 m gain +2 damage and +2 to any Hrt (Courage) tests until your next turn.

(allies may only receive the benefits of this action once per turn)",specialization
39,Lead By Example,Minor,Insipre your followers by rolling a TN 15 Cha (Leadership) test. If you succeed all your followers recover from being Winded.,specialization
40,Necrostrike,Major,"Channel your undead energy into your blade, and make a melee attack against a foe. If your blade strikes living flesh, the target is affliced by necrosis. (necrosis deals 1d6 penetrating damage every round until the target receives healing)",specialization
41,Secondary Attack,Minor,You may now effectively wield a Light Weapon in your off hand and attack with it as a minor action. Attacks made with your off hand suffer a -2 penalty to hit. The secondary attack does not generate doubles points. You must pass the Weight Requirement for both weapons.,specialization
42,Parrying Stance,Minor,Enter a parrying stance to gain +1 defense and allow you to perform an attack of opportunity once against a foe who unsuccessfuly attacks you before your next turn. The effects of this stance last until your next turn.,specialization
43,Dual Strike,Major,Make a melee attack with both of your currently equipped weapons at the same time. You must still make a separate attack roll for each weapon.,specialization
44,Gladiator Maneuver,Free,"You may now perform a gladiator maneuver as a free action by expending a glory die. Your current available maneuvers are the following stunts:
 Knock Prone, Disarm, Skirmish (3 m).",specialization
45,Protect,Major,Chose an adjacent ally to protect. Until your next turn any attack that would have hit your ally will instead hit you.,specialization
46,Secondary Shot,Minor,"You may now effectively wield two pistols at a time by using a pocket pistol in your off hand. Firing with your off hand is considered a minor action, but cannot generate doubles points. You may reload both guns as a major action.",specialization
47,Dual Shot,Major,"You may now shoot two equipped pistols as a single major action. This attack has 1/2 the normal range of your pistols, and you must make a separate attack roll for each pistol.",specialization
48,Mark Target,Minor,You may mark a visible target as a minor action. Gaint +2 towards all perception and targeting related tests against the marked target. You may only mark one target at a time.,specialization
49,Precise Blow,Minor,"Take precise aim at a body part of an adjacent enemy. If you make a targeting attack against that enemy later this turn, you will gain +3 towards landing that targeting attempt if you use a martial weapon.",specialization
50,Paralyzing Blow,Major,"Make a brawling attack aimed at the opponent's chakra points. If your attack lands you deal 1d6+Dex physical damage. If this attack deals damage past the foe's armor, the target loses their next major action.",specialization
51,Sweeping Strike,Major,When making a melee attack with a martial weapon you may hit a number of targets equal to the range of that weapon. (Use the same attack and damage roll),specialization
52,Medical Analysis,Minor,Use your medical skills to gain awareness of the remaining HP for all visible allies and friendly NPCs OR the remaining HP of one foe.,specialization
53,Let the Show Begin,Major,Put on a show for the enemy. Roll a Cha (Performance) vs the Hrt (Self-Discipline) of all foes who can see or hear you. A target who fails to beat your test roll will lose their next major action.,specialization
54,Quick Jab,Minor,Make a melee brawling attack with a -2 penalty to hit the target. This attack cannot generate doubles points.,specialization
55,Peace Talks,Major,"Appeal to a violent opponent by making a relevant Charisma test of your choice. The opponent must make an opposed Hrt (Morality) test. If you succeed, the target will be willing to talk with you, potentially leading to combat ending without violence. Some targets can only be convinced under very specific conditions (GM discretion). This may only be attempted once per combat encounter.",specialization
56,Avast!,Minor,You can now effectively wield a pistol and melee weapon at the same time. If you made an attack with one of them on your turn you may make a second attack as a minor action with the other. This second attack does not generate doubles points and suffers a -2 to hit.,specialization
57,Rampage,Minor,"As a minor action, you may enter a rampaging state. While rampaging your attacks deal +1d6 extra damage, and you gain +1 Accuracy. While in this state you must attack the nearest creature to you. Your rampaging ends when you can no longer see any creatures within 25 m of your location or you are knocked unconscious.",specialization
58,Stance Change,Minor,Enter or change a samurai stance as a minor action.,specialization
59,Ryujin,Minor,"Deal 3d6 arcane damage to a single foe with your blade. This damage is considered to be elemental based on your stance, and will fail if you are not in a samurai stance.",specialization
