id,name,attribute,description,notes,creatorId,world/0
1,Poison Res,Endurance,"For use with any test involving your body detoxifying a consumed poison (including alcohol). This also applies when you eat something poisonous. See the Drunkenness Table for more info on alcohol consumption.

TN to resist a poison by grade: (GM Discretion)
common - 11
uncommon - 14
rare - 17
epic - 20
legendary - 23",,1,1
2,Pain Res,Endurance,For use in resisting fatigue or losing consciousness after suffering a terrible injury.,,1,1
3,Stamina,Endurance,For use in rolls to stay awake/focused for extended periods of time or resist some debilitating effect. Failure generally results in taking damage or gaining fatigue.,,1,1
4,Swimming,Endurance,"Swimming = 1/2 movement speed

Holding your breath requires a TN 11 End (Swimming) test, and every round or 1 minute the TN increases by 2. If you fail once, then you are unconscious and will die in 2 minutes if you do not receive aid.",,1,1
5,Running,Endurance,"Sprinting (double movement speed)
TN 12 - 1 round (10 seconds)
TN 14 - 2 rounds
TN 16 - 3 rounds
TN 18 - 4 rounds

Jogging (normal movement speed)
TN 12 - 5 minutes
TN 14 - 15 minutes
TN 16 - 1 hour
TN 18 - 4 hours

Failing one of these tests will give you a level of fatigue.",,1,1
6,Temp Res,Endurance,For use in rolls to withstand extreme heat or cold. Failure generally results in taking damage or gaining fatigue.,,1,1
7,Climbing,Strength,"While climbing you move at 1/2 your movement speed. Below are some example target numbers. If the surface is slippery increase the TN by 3.

TN 12 - Surface with ledges, steep slope, or rope with knots
TN 15 - Unknotted rope, surface with natural hand and footholds
TN 18 -  Uneven surface with narrow handholds
TN 21 - Rough surface (brick wall), sloped ceiling with handholds
TN 24 - Vertical wall, celling with narrow handholds
Impossible to climb a perfectly smooth surface without specialized equipment.",,1,1
8,Grappling,Strength,"Your ability to wrestle with, grapple, or ""manhandle"" someone/something else. Generally for use in a test vs another character. The character that rolls higher wins. Outcome may depend on the difference between rolls.",,1,1
9,Intimidation,Strength,"Your ability to simply look strong and scary. Often will be an opposed test vs another player's Heart (Courage). Winning will result in the other player backing down. If you roll significantly higher than the other character, hilarity may ensue.

Attempting this test may affect how other characters view you. ",,1,1
10,Jumping,Strength,"Long Jump (running start required, otherwise jump is halved)
TN 11 - 2 meters
TN 13 - 4 meters
TN 15 - 6 meters
TN 17 - 8 meters

High Jump (running start required, otherwise jump is halved)
TN 11 - 1 meter
TN 13 - 1.5 meters
TN 15 - 2 meters
TN 17 - 2.5 meters",,1,1
