id,creatorId,world/0,name,notes,points,requirement/attribute/0/id,requirement/attribute/0/value,requirement/attribute/1/id,requirement/attribute/1/value,requirement/attribute/2/id,requirement/attribute/2/value,requirement/other,upgrade/type,upgrade/id,upgrade/isRepeatable
1,1,1,Increase Max HP,"Gain +3 to your maximum HP. 
*Once your maximum HP is equal to or greater than 60, this only grants +2 towards your maximum HP.
**Once your maximum HP is equal to or greater than 90, this only grants +1 towards your maximum HP.",1,,,,,,,,stat,1,0
2,1,1,Increase Movement Speed,"Gain +0.5 to your maximum Movement Speed. 
*Once your maximum Speed is equal to or greater than 10, this only grants +0.25 towards your maximum Speed.",1,,,,,,,,stat,2,0
3,1,1,Increase Max MP,"Gain +2 to your maximum MP
*Once your maximum MP is equal to or greater than 50, this only grants +1 towards your maximum MP.",1,,,,,,,,stat,3,0
4,1,1,Focus Level 1,Gain a +1 focus for a single attribute test. This grants you +1 on all test results towards tests relevant to your focus.,1,,,,,,,focus,focus,,0
5,1,1,Focus Level 2,Upgrade your +1 focus to be a +2 focus.,2,,,,,,,focus,focus,,0
6,1,1,Focus Level 3,Upgrade your +2 focus to be a +3 focus.,3,,,,,,,focus,focus,,0
7,1,1,Talent Level,"Gain the Novice abilities for a new talent, or the next level of a talent you already have.",2,,,,,,,talent,talent,,0
8,1,1,Specialization Level,"Gain a new Specialization, or the next level of a Specialization you already have.",3,,,,,,,specialization,specialization,,0
9,1,1,Endurance,"The cost to increase this attribute is equivalent to the level of the attribute you are attempting to gain. Minimum 2 points. 
Example 1: you currently have 2 End and you want 3 End, this will cost 3 points. 
Example 2: you currently have 0 Dex and want 1 Dex, this will cost 2 points. (minimum of 2)",,1,,,,,,attribute,attribute,1,0
10,1,1,Rock Steady,,1,1,1,,,,,,stunt,39,0
11,1,1,Armor Training 1,,1,1,2,,,,,,power,43,0
12,1,1,Armor Training 2,,2,1,4,,,,,,power,44,0
13,1,1,Armor Training 3,,3,1,6,,,,,,power,45,0
14,1,1,Fortify Armor,,2,1,3,,,,,,stunt,40,0
15,1,1,Soldier's Nap,,2,1,4,,,,,,power,46,0
16,1,1,Tenacious Will,,3,1,5,,,,,,stunt,41,0
17,1,1,Indominable,,3,1,6,,,,,,power,47,0
18,1,1,Strength,"The cost to increase this attribute is equivalent to the level of the attribute you are attempting to gain. Minimum 2 points. 
Example 1: you currently have 2 End and you want 3 End, this will cost 3 points. 
Example 2: you currently have 0 Dex and want 1 Dex, this will cost 2 points. (minimum of 2)",,2,,,,,,attribute,attribute,2,0
19,1,1,Knock Prone,,1,2,1,,,,,,stunt,42,0
20,1,1,Charge Attack,,1,2,2,,,,,,action,22,0
21,1,1,Mighty Blow,,2,2,3,,,,,,stunt,43,0
22,1,1,Lethal Blow,,2,2,4,,,,,,stunt,145,0
23,1,1,Deadly Blow,,2,2,5,,,,,,stunt,146,0
24,1,1,Heavy Handed,,2,2,4,,,,,,power,48,0
25,1,1,Sweeping Strike,,3,2,5,,,,,,stunt,44,0
26,1,1,Warlord,,3,2,6,,,,,,power,49,0
27,1,1,Accuracy,"The cost to increase this attribute is equivalent to the level of the attribute you are attempting to gain. Minimum 2 points. 
Example 1: you currently have 2 End and you want 3 End, this will cost 3 points. 
Example 2: you currently have 0 Dex and want 1 Dex, this will cost 2 points. (minimum of 2)",,3,,,,,,attribute,attribute,3,0
28,1,1,Skirmish,,1,3,1,,,,,,stunt,45,0
29,1,1,Weapon Training 1,,1,3,2,,,,,,power,50,0
30,1,1,Weapon Training 2,,2,3,4,,,,,,power,51,0
31,1,1,Disarm,,2,3,3,,,,,,stunt,46,0
32,1,1,Marksman,,2,3,4,,,,,,power,52,0
33,1,1,Rapid Reload,,3,3,5,,,,,,stunt,47,0
34,1,1,Tenacious Spirit,,3,3,6,,,,,,power,53,0
35,1,1,Juggernaut Rush,,3,1,5,2,5,,,,action,25,0
36,1,1,Sentinel,,3,1,5,3,5,,,,power,54,0
37,1,1,Expert Strike,,3,2,5,3,5,,,,power,55,0
38,1,1,Last Stand,,3,1,5,2,5,3,5,,power,56,0
39,1,1,Dexterity,"The cost to increase this attribute is equivalent to the level of the attribute you are attempting to gain. Minimum 2 points. 
Example 1: you currently have 2 End and you want 3 End, this will cost 3 points. 
Example 2: you currently have 0 Dex and want 1 Dex, this will cost 2 points. (minimum of 2)",,4,,,,,,attribute,attribute,4,0
40,1,1,Defensive Stance,,1,4,1,,,,,,stunt,48,0
41,1,1,Speedy 1,,1,4,2,,,,,,power,57,0
42,1,1,Speedy 2,,2,4,4,,,,,,power,58,0
43,1,1,Speedy 3,,3,4,6,,,,,,power,59,0
44,1,1,Disengage,,2,4,3,,,,,,stunt,49,0
45,1,1,Uncanny Dodge,,2,4,4,,,,,,power,60,0
46,1,1,Disappearing Act,,3,4,5,,,,,,stunt,50,0
47,1,1,Elusive,,3,4,6,,,,,,power,61,0
48,1,1,Perception,"The cost to increase this attribute is equivalent to the level of the attribute you are attempting to gain. Minimum 2 points. 
Example 1: you currently have 2 End and you want 3 End, this will cost 3 points. 
Example 2: you currently have 0 Dex and want 1 Dex, this will cost 2 points. (minimum of 2)",,5,,,,,,attribute,attribute,5,0
49,1,1,Pierce Armor,,1,5,1,,,,,,stunt,51,0
50,1,1,Pinpoint Attack,,1,5,2,,,,,,power,62,0
51,1,1,Stay Aware,,2,5,3,,,,,,stunt,52,0
52,1,1,Scan Weakness,,2,5,4,,,,,,action,23,0
53,1,1,Penetrate Armor,,3,5,5,,,,,,stunt,53,0
54,1,1,Sharpshooter,,3,5,6,,,,,,power,63,0
