id,name,description,recommendedAttributes/0,recommendedAttributes/1,recommendedAttributes/2,recommendedStats/0,recommendedStats/1,requirements/0,requirements/1,requirements/2,ranks/0,ranks/1,ranks/2,ranks/3,ranks/4,ranks/5,ranks/6,ranks/7,ranks/8
1,Alchemist,"Using alteration, crafting, and alchemy to  create and prepare explosives, granades, and more. Change iron to steel, copper to gold.",Int,Acc,Dex,MP,Spd,Successfully disassemble a grenade and learn the base elements used to make it.,Successfully cast 3 spells with the aide of your Alchemical Formulae during combat.,Modify grenades with your alchemical spells to create 3 new and unique grenade types,You can now make all types of grenades listed in the Alchemist section of the Gear table. Requires 25 credits worth of materials and a TN 13 Dex (Tinkering) test.,You now have access to the Novice level spells in the Alteration arcanum for the Alchemist,Gain the stunt: Grenadier (2dp) Immediately ready and throw a grenade that you have in your inventory.,"You may now modify your basic grenades to deal an additional 2d6 damage, and deal damage to all targets within 10 meters of the explosion. Modifying a grenade requires a TN 15 Dex (Tinkering) test.",You now have access to the Adept level spells in the Alteration arcanum for the Alchemist,You can now draw an alchemical formulae as a major action.,You may now use transmutation spells on creatures. Doing so increases the target number for doing so by 5. Transmuting creatures is generally considered to be a grave sin in most cultures.,You now have access to the Master level spells in the Alteration arcanum for the Alchemist,"You have perfected the recipe for the Philosopher's Stone, which will allow you to cast Transmute: Permanence without needing counter ingredients. (once the stone is used, it is destroyed). Consult the GM for the recipe (it should require similar ingredients to a legendary potion)."
2,Ancestral Summoner,"Make a connection to an ancestor. Speak with them, borrow their weapons, tools, and armor. Summon them and their powers to this world.",Int,Hrt,Cha,MP,HP,Visit the burial or resting place of a powerful ancestor.,Speak with your ancestor on 5 separate occasions.,Earn the respect of your Ancestor.,You now have access to the Novice level spells in the Conjuration arcanum Séance and Conjure Tool. You conjure tools of your anscestor (as long as you have permission) instead of a stored object.,Spirit Armor (3dp) - Your Ancestral Spirit grants you +6 physical and arcane armor for 1 round by wrapping their spirit around your body in exchange for allowing them 1 round of control of your body.,You may now Cast Séance and Summon Tool as minor actions to gain information and insight during combat.,You now have access to the Adept level spells in the Conjuration arcanum granting you Ancestral Possesion and Summon Servant. The servant  you summon is one that originally belonged to your ancestor.,You gain an additional tool of your ancestor's that you may summon with the Summon Tool spell. When you cast the spell you may choose which tool to summon.,"You may choose to call on more or less of your ancestor's power when casting Anscestral Summoner spells. If you want more power, you will be at a disadvantage to resisting them, less power gives you advantage to resisting them. This also applies to any servants, steeds, or tools you have summoned. (discuss with the GM how to adjust the power)",You now have access to the Master level spell in the Conjuration arcanum: Summon Ancestral Spirit. ,"You may now cast Ancestral Possession for 4 MP instead of 8, and Summon Tool and Séance become a free action to cast  once per turn.","Your ancestor has acknowledged your strength and is now subservient to you. They will no longer attemt to fight against you, manipulate you, or hide things from you. They will obey all your commands when you summon them."
3,Assassin,"Focuses on stealth, silence, and one-shot kills.",Dex,Acc,Per,Spd,HP,Successfully perform 3 sneak attacks,Assassinate and kill a target with a sneak attack on 3 separate occasions.,Assassinate and kill a public or famous figure without being caught.,When sneak attacking a target while using a light weapon your attack is penetrating and ignores the target's armor.,"Must Have Been the Wind (5dp) - If performing this action while sneaking, your stealth is not broken.",Analytical Eye (Minor Action) - Examine a humanoid target that you can see within 10 m of you to attempt to determine their weakness. Gain +2 towards targeting tests against this foe for the remainder of the encounter.,"Sneak attacks from light weapons now deal an additional 1d6 damage. Likewise, sneak attacks from silent/concealable archery and firearms weapons are now considered to be penetrating and ignore the target's armor","If you assassinate and kill a target in one hit with a melee attack while sneak attacking, you may immediately make an additional sneak attack against a second target within range of your melee weapon.",While sneak attacking a target you gain advantage on your attack rolls.,You may now add your Perception attribute modifier to your sneak attack base damage.,Analytical Eye's effects now last for the remainder of the combat encounter.,"Time is shifted when you deal the finishing blow to a foe, allowing you to have a short conversation with your target while you finish them off. During this conversation the target can't lie to you. This also grants you an immdediate minor action after the exchange."
4,Barbarian,"Less is more, they seek victory by brute strength alone. No trickery here.",Str,End,Acc,HP,Spd,"Avoid the use of any advanced tech, computerized tech, or any technology that runs off of energy cells and do not cast spells.",Avoid the use of any technology or tool that is intricate in design or would confuse a barbarian. & Must be able to charge attack.,"Smash a confusing technological device worth at least 100,000 Credits.",Your Physical Armor is equal to your End attribute when not wearing armor. Your damage bonus from your Strength attribute modifier is also doubled while using stone or bone weapons.,Sunder Armor (3dp): Damage medium or heavy armors and reduce it's physical armor rating by 2 until it is fixed.,Reckless Attack (major action):  Sacrifice 2 defense to deal a bonus 1d6 physical damage with a melee attack. Effects last until your next turn.,Your speed is now doubled while making Charge Attacks when not weaing armor.,The effects of a Reckless Attack may now be applied to a Charge Attack.,You are now able to wield any weapon regardless of strength requirement and you deal bonus physical damage equal to the weight requirement of the weapon you are using.,The Sunder Armor stunt now damages the medium and heavy armors by 5 instead of 2.,"Heavy Weapons - Barbarian Smash (3dp): When attacking an enemy wielding or using a tech or arcane based tool, you may smash said tool rendering it unusable until it is fixed.",Melee attacks made with heavy weapons against opponents equal to or smaller than your size now always knock the opponent prone.
5,Bard,Influencing others is the way to play. Use story and song to save the day.,Cha,Dex,Hrt,Spd,HP,"Know how to play an instrument, and successfully make a Cha (Performance) test to please a small crowd of 5 people.",Successfully make a Cha (Performance) test to please a crowd of 50 or more people.,Successfully make a Cha (Performance) test to please a crowd of 500 or more people. At least one public figure or famous person must be in attendance.,Give your Bardic Inspiration to someone. As a major action give them a 1d6 to add to any roll of their choice for the next 15 min. You may only give your bardic inspiration to 1 person at a time. ,Song of Deliverance (minor action) - Use uplifting music to rescue all your nearby allies from any mind-influencing effects.,Song of Rest (major)  - Use soothing music to revitalize all your nearby allies' HP by 1d6 + Cha + Performance focus,Song of Thrashing (major) - Use hectic music to deal penetrating damage all enemies who hear it by 1d6 + Cha + Performance focus,"Song of Haste (major) - Pick up the tempo of combat for your allies. Select an ally, on that ally’s next turn they will gain an additional major action and double movement speed.",Giving your Bardic Inspiration is now a minor action for you,Song of Rest and Thrashing are now minor actions for you to play.,You may now give your Bardic Inspiration to up to 3 allies at a time.,"Song of Love (Major) - Play a pacifying sonnet to calm all who hear it to cease combat as long as you are playing. A creature may make a TN 18 Hrt (Self-Discipline) test to resist the effects. If a pacified creature takes damage, they are freed from the song's effects, and may immediately make an attack."
6,Beastmaster,Let your animal friends do all the dirty work. Gotta catch em all! ,Hrt,Wis,Dex,MP,HP,Successfully have tamed at least one creature (see Animal Taming talent),Currently are travelling with at least 2 tamed creatures. (see Animal Taming talent),Successfully have tamed a Dire Threat creature.,You now have access to the Novice level spells in the Animism arcanum for Beastmasters. ,Tooth and Claw (3dp) - A summoned or tamed creature will make an additional attack immediately following yours,Your time spent with your tamed creature has allowed you to bring them to an Elite version of their species. (See Game Info/Creature Upgrade Table). Must have spent at least 1 week with this creature.,You now have access to the Adept level spells in the Animism arcanum for Beastmasters,Your time spent with your tamed Elite level creature has allowed you to bring them to a Heroic version of their species. (See Game Info/Creature Upgrade Table). Must have spent at least 1 month with this creature.,You can now tame any creature of Dire threat or lower. You may also tame a number of creatures equal to your Heart attribute.,You now have access to the Master level spells in the Animism arcanum for Beastmasters,Your time spent with your tamed Heroic level creature has allowed you to bring them to a Legendary version of their species. (See See Game Info/Creature Upgrade Table). Must have spent at least 3 months with this creature.,"Upon defeating a creature you may choose to withold the final blow to leave them on the brink of death. While in this state roll a Hrt (Animal Handling) test vs their Hrt (Self-Discipline). If you succeed, the beast is tamed. This may only be attempted once per creature."
7,Berserker,"Rage fuels these mighty warriros, they can ignore pain, and they fight to the end past what would kill a normal warrior.",Str,Hrt,End,HP,Spd,Attack and kill a creature that enraged you.,"Survive a battle in which you were outnumbered, frenzied, and with less than 1/4 of your max HP remaining",Survive a combat encounter vs at least 5 opponants in which you were frenzied and dealt the finishing blow to all of the enemies.,"You may now become enraged in combat (minor action) to gain +2 Str, +1 Hrt, +1 End, -1 Per, -1 Dex, and -1 Int",Bleeding Edge (3dp): For the next 2 rounds at the beginning of the enemy's turn they take 1d6 penetrating bleeding damage.,"Frenzy (minor action) - If you are enraged, you may now enter a frenzy as a minor action. While frenzied you may make melee attacks as minor actions. However at the end of the encounter you gain a level of fatigue for every minor attack you make. 

DANGER: This could kill you","While enraged your physical damage bonus gained by your Str attribute is considered doubled. (ex: you normally have 5 Str and deal +5 extra damage when making attacks, now when you are enraged that increases to +10)","While enraged you now gain an additional +2 Str, +1 Hrt, and +1 End in addition to the Rank 1 power.",The Bleeding Edge stunt's damage over time is now increased to 2d6 penetrating damage.,While enraged or frenzied you automatically succeed all Hrt (Courage) and End (Pain Res) tests.,If you are frenzied and are targeted by a melee attack you may retaliate with an attack of opportunity.,"While enraged you now gain an additional +2 Str, +1 Hrt, and +1 End in addition to the Rank 1 and 5 powers."
8,Blood Mage,Bloodmages have found a way to cast their spells without relying on MP. By using blood they gain power and manipulate arcana.,Int,Wis,Cha,HP,Spd,"Drain the blood of a person, and use it to fuel your spells.",Fully submerge yourself in blood while resting for 8 hours and awaken Well Rested,In a single encounter cast Blood Mage spells with the sum of their MP costs totaling 100 or more.,You now have access to the Psychic spell: Scarlet Synapse & the Conjuration Spell: Blood Hound,You may now fuel your spells with your own HP instead of MP. You may only cast Blood Mage spells in this manner.,You now have access to the Visionary  Spell: Detect Life & the Elemancy Spell: Water (Blood) Manipulation ,You may use the blood (HP) of a willing ally to cast your spells. You must be in direct contact with the blood. (blood mage spells only) ,You now have access to the Alteration spell: Hemotheurgy & the Harmonic Spell: Blood Boil,"Blood Regeneration: You may recover 10 HP in exchange for 5 MP as a minor action.

Also, when casting bloodhound your hound is summoned with an amount of HP equivalent to double the MP used to cast. It may be used in combat and has the stats of a wolf.",You now have access to the Restoration spell: Blood Rite & the Mysticism Spell: Blood Stasis ,If you make physical contact with the fresh blood of an actively bleeding enemy you may use their HP to fuel a single Blood Mage spell. This cannot be combined with Blood Manipulation.,You now have access to the Animism Spell: Blood Bending & Illusion Spell: Hemo Hallucination
9,Blooded,"The blooded absorb power from the flesh & blood of those they have slain. They are often associated with serial killers and cannibals, however some choose to only eat the flesh of animals and creatures.",End,Dex,Hrt,HP,Spd,Consume the raw flesh and blood of a creature you have slain.,Consume the flesh of at least 5 people OR completely consume a creature of Major threat or higher,Consume the flesh of at least 50 people OR completely consume a creature of Dire threat or higher,"Eating the flesh of a creature you have recently slain will grant you a temporary +1 bonus to an attribute that corresponds to the specific flesh that was eaten. Doing so during battle is a major action, this bonus lasts 1 hour, and you may have no more than 3 bonuses at a time. See note or consult GM for bonuses.","Eating the raw flesh of any creature also restores 10 HP to you, and 5 MP. However you no longer recover HP and MP by resting. Each unique creature's flesh will only heal you once.",You may now choose to temporarily receive a +2 focus bonus instead of an attribute bonus from the flesh you eat.,The bonus obtained from eating flesh has increased to 6 hours,You may now have a number of flesh eating bonuses equal to your Blooded rank instead of only 3.,You are now immune to poisons or other diseases from the flesh that you eat.,The bonus obtained from eating flesh has increased to 24 hours,You may now eat the flesh of a creature you have just slain as a free action upon killing them.,"Eating the brain of a creature will now also impart some of their memories to you. The amount of memories will depend on how long ago they died, and the state of their brain."
10,Champion,"Rallying their allies on the battlefield, the champion gives even the worst outcomes hope.",End,Hrt,Dex,HP,Spd,Inspire a disheartened character to have hope. ,Rally and protect an ally that has entered a dying state. Do not let them die.,Successfully champion your team to victory after at least 3 teammates fall into a dying state.,"Rally - Minor Action - All allies within 15 m gain +2 damage and +2 to any Hrt (Courage) tests until your next turn.

(allies may only receive the benefits of this action once per turn)",Valiant Roar (3dp): Raise your voice and let out a rallying battle cry in combat. All allies who hear your cry gain +1 Def for the remainder of the round.,"Whenever you use the Rally action you may also select one foe and draw their attention, forcing them to target you on their next turn.",You now deal +2 extra physical damage with melee attacks for every enemy that is currently targeting you during battle.,Allies you have Rallied now also gain a +2 bonus to their attack rolls.,"Your rank 4 bonus damage now applies to Rallied Allies. If you fall below 1/2 health, get knocked unconscious, or are at Fatigue level Drained (or lower) your allies lose this bonus damage.",Enemies forced to target you are now at disadvantage when making attack rolls.,If you use a second Rally action in the same turn all foes currently engaged in combat will target you until your next turn.,The Rank 6 effect will now apply regardless of how healthy you are. It will no longer apply if you succumb to death however.
