creatorId,worldId,id,name,description,notes,baseStats/hp,baseStats/spd,baseStats/mp,brawling/0,brawling/1,attributeId/0,attributeId/1,language/0,language/1,raceBonus/0/type,raceBonus/0/id,raceBonus/0/type,raceBonus/0/id,raceFocus/0,raceFocus/1,raceFocus/2,rollTable/0/type,rollTable/0/attributeId,rollTable/1/type,rollTable/1/attributeId,rollTable/2/type,rollTable/2/attributeId,rollTable/3/type,rollTable/3/attributeId,rollTable/4/type,rollTable/4/attributeId,rollTable/5/type,rollTable/5/attributeId,rollTable/6/type,rollTable/6/attributeId,lvl10Bonus/0/type,lvl10Bonus/0/id,lvl10Bonus/1/type,lvl10Bonus/1/id,lvl20Bonus/0/type,lvl20Bonus/0/id,lvl20Bonus/1/type,lvl20Bonus/1/id,image/0,image/1,image/2,image/3,image/4,image/5
1,1,1,Human,"With their penchant for migration and conquest, humans are more physically diverse than other common races. There is no typical human. An individual can typically stand from 1.5 to 2 meters in height (5 feet to 6 and 1/2 feet) and weigh anywhere 45 to 115 kilograms (100 to 250 pounds). Human skin shades range from nearly black to very pale, and hair colors from black to blond (curly, kinky, or straight); males might sport facial hair that is sparse or thick. Humans reach adulthood in their late teens and rarely live even a single century.
Humans are the most adaptable and ambitious people among the common races. They have widely varying tastes, morals, and customs in the many different lands where they have settled.  About 45% of the world's population is human.
Many other races have ties to the humans. Prior to the fall, human genetic experimentation created the Ferali, the Orions and humans share a common ancestor, and the Gargun were once enslaved by humans. The Vata warred with the humans and created the Starforged to fight them during the ancient war, and some historians believe Infernals would not exist without the ancient war",,15,3,10,1,,,,1,,power,1,,,,,,attribute,7,focus,7,focus,6,attribute,6,focus,4,focus,3,attribute,3,power,2,,,power,3,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/human1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/human2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/human3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/human4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/human5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/human6.jpg
1,1,2,Halfling,"Halflings are a mixed race born from the bonding of a two different races (other than Starforged). Halflings vary greatly depending on the races of their parents. The great differences between their looks results in them having difficulty blending in wherever they go. The most common halflings usually have one parent that is human. Unfortunately Halflings are always infertile, so they struggle to develop lasting communities.
Halflings have no lands of their own, though they are always welcome in the most of the large cities. In large cities in regions where humans and other races interact often, halflings are sometimes numerous enough to form small communities of their own. They enjoy the company of other halflings, the only people who truly understand what it is to live between these two worlds. About 15% of the world's population is halfling.",,varies,varies,varies,1,,6,,1,varies,,,,,,52,71,attribute,choice,focus,9,focus,7,attribute,choice,focus,6,focus,4,attribute,choice,,,,,,,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/halfling1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/halfling2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/halfling3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/halfling4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/halfling5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/halfling6.jpg
1,1,3,Orion,"The Orions used to be humans but prior to the fall their ship's stasis pods failed and they were forced to live in on their ship in space for thousands of years. The cosmic radiation caused them to mutate into the Orions prior to them reaching Elara. They have very large eyes that can see in the dark, and long dexterous fingers that they are adept at building and crafting. They are on average 1 to 1.25 m tall (3-4 ft), and weigh 35 to 75 kg (75-175 lbs). Orions have a tendency to have paler skin and lighter colored hair, though many prefer to dye their hair. The Orions often prefer to augment their own bodies with the tech they have designed or are working on. About 10% of the world's population is Orion.
The Orions may be tech savvy but are also very superstitious and religious. They credit the Constellations with having guided them through deep space to the moon of Elara. Orions are also very likely to have ""lucky"" tools or articles of clothing, but are just as likely to throw away something that they deem ""unlucky"".
Although they have a disposition towards technology, Orions will engross themselves into the study and research of whatever catches their fancy. Some of the newest spells and experimental arcana were developed by the Orions as well. Others channel these skills to help them handle things more directly, as there is nothing worse than an angry Orion interrupted in the middle of their experiments.",,18,2.5,12,1,,4,,1,5,power,4,,,13,32,62,attribute,5,focus,5,focus,8,attribute,8,focus,4,focus,7,attribute,7,power,5,,,power,6,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/orion1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/orion2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/orion3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/orion4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/orion5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/orion6.jpg
1,1,4,Gargun: Fel,"Garguns are actually made up of 2 subspecies that they call Tribes, Gargun-Fel and Gargun-Ul. Most Garguns do not recognize or seem to care that they are separate species and care more about individual strength, often competing in dangerous battles and competitions simply to prove themselves. Though there are some Gargun who have chosen to leave the bloody tribal life behind and have attempted to blend into modern society within the large cities. Both tribes have short lifespans, usually less than 50 years, though some suspect this could be longer if they were less prone to seeking a glorified death in battle.
Both of the Gargun Tribes have large and physically powerful statures necessary for their home planet, a bleak place of rock, sand, wind, and ice. All Gargun stand between 1.75 to 2.5 m tall (6 to 8 feet) and weigh between 90 to 160 kilograms (200 to 340 pounds). The Gargun-Fel look as if they are carved from mountain stone, with skin colors of mostly gray and drab tones they are often covered by tribal scarring or tattoos.
Garguns were the first aliens that humanity discovered beyond their home planet. These powerful and large beings were no match for the technology and weapons the humanity wielded. And were eventually enslaved as warriors and laborers. Garguns have a short lifespan and an even shorter memory. The Gargun Tribes generally hold no grudges for the enslavement they once faced. About 10% of the world's population is Gargun.",,21,3,8,1,,2,,1,4,power,31,stat,5,6,51,75,attribute,4,focus,4,focus,3,attribute,3,focus,2,focus,1,attribute,1,power,32,,,power,33,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunFel1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunFel2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunFel3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunFel4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunFel5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunFel6.jpg
1,1,5,Gargun: Ul,"Garguns are actually made up of 2 subspecies that they call Tribes, Gargun-Fel and Gargun-Ul. Most Garguns do not recognize or seem to care that they are separate species and care more about individual strength, often competing in dangerous battles and competitions simply to prove themselves. Though there are some Gargun who have chosen to leave the bloody tribal life behind and have attempted to blend into modern society within the large cities. Both tribes have short lifespans, usually less than 50 years, though some suspect this could be longer if they were less prone to seeking a glorified death in battle.
Both of the Gargun Tribes have large and physically powerful statures necessary for their home planet, a bleak place of rock, sand, wind, and ice. All Gargun stand between 1.75 to 2.5 m tall (6 to 8 feet) and weigh between 90 to 160 kilograms (200 to 340 pounds). Where the Gargun-Fel have more of a human semblance, the Gargun-Ul seem more monstrous. They have green/gray skin with large tusks that protrude from their lower jaw and pointed ears. Due to their looks Gargun-Ul generally receive more prejudice than Gargun-Fel.
Garguns were the first aliens that humanity discovered beyond their home planet. These powerful and large beings were no match for the technology and weapons the humanity wielded. And were eventually enslaved as warriors and laborers. Garguns have a short lifespan and an even shorter memory. The Gargun Tribes generally hold no grudges for the enslavement they once faced. About 10% of the world's population is Gargun.",,21,3,8,1,,2,,1,4,power,31,stat,5,2,12,34,attribute,4,focus,4,focus,2,attribute,2,focus,3,focus,1,attribute,1,power,32,,,power,33,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunUl1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunUl2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunUl3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunUl4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunUl5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/gargunUl6.jpg
1,1,6,Vata,"The Vata are an extremely graceful race. Their skin color ranges from a pure white to a dark grey almost black, but can sometimes have hints of blue or purple to the skin tone. Their ears are sharply pointed, and their bodies are generally less muscular and more lithe than humans ranging from 40 to 80 kilograms (90 to 180 pounds) and heights of 1.5 to 1.8 meters (5 to 6 feet). Their eyes come in a multitude of colors and their hair is generally white or blonde.
Vata and humans are the races that brought about the Fall over a thousand years ago. The Vata who originated from a far side of the galaxy initially were friendly with humans, but the fickle and greedy humans brought the wrath of the Vata upon themselves. Nowadays most Vata live in far secluded groves and surround themselves by nature and shun technology as a means of repentance for the sins of their ancestors. 
Vata can live well over 300 years, meaning only a few generations have passed for them since the fall. As such they tend to be much more patient and less prone to fighting amongst themselves than the other races.  Perhaps due to their long lifespan the Vata seldom give birth, and rarely do Vatan couples have more than two children. Though most view the Vata as cold or even unloving they are fiercely loyal and respond harshly to those who insult or attack their loved ones.",,12,3.5,12,1,,8,,1,2,power,34,,,24,43,65,attribute,8,focus,8,focus,9,attribute,4,focus,4,focus,3,attribute,3,power,35,,,power,36,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/vata1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/vata2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/vata3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/vata4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/vata5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/vata6.jpg
1,1,7,Starforged,"The Starforged are a pseudo-robotic race created with lost technology and ancient magic. In the millennia that has passed since their creation, many have had to replace their original metal parts with either stone, raw metals, and wood fibers. The core of a Starforged is an ancient crystal imbued with arcane properties. An internal network of microscopic tubes run through the Starforged's body, these tubes are filled with an alchemical blood-like fluid that is designed to transfer energy from their core and lubricate their systems.
The Starforged physical form can vary greatly. They stand anywhere from 1.5 to 2 meters (5 to 7 feet) tall, and can weigh anywhere from 60 to 120 kilograms (130 to 260 pounds). They have no biological sex, but many have adopted a gender role as part of their personality. They have no need to eat or sleep, but when they are injured and lose ""blood"" they must enter a form of stasis similar to sleep where they replenish their lost fluids. They gain energy from radiation given off by the sun. Starforged do not ""wear"" armor, their bodies temporarily incorporate armor into themselves, changing their shape and size to accommodate. 
Originally built by the Vata to war against the humans, many Starforged still have a deep reverence for the Vata in their internal programming. Although the order to attack and destroy humans was wiped at the end of the ancient war. Most surviving Starforged have spent the majority of the time since the Fall in stasis due to a lack of purpose after their original programming was wiped. Those Starforged who choose to wake have often had most of their original power diminished. Less than 1% of the world's population is Starforged.",,18,3,10,1,,1,,1,2,power,37,,,3,25,56,attribute,5,focus,5,focus,2,attribute,2,focus,1,focus,8,attribute,8,power,38,,,power,39,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/starforged1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/starforged2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/starforged3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/starforged4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/starforged5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/starforged6.jpg
1,1,8,Infernal,"According to the Vatan historical account, Infernals were once Vata whose bloodlines were 'tainted' during the ancient war. Infernal bodies are generally similar in size to humans, but they have horns that take on a variety of shapes. Most infernals have tails, though some have them removed at birth so as not to stand out too much. They have pointed teeth and share the pointed ears from their Vatan ancestors. Infernal skin tones range from red to blue, and their eyes usually are one solid color.
Their 'demonic' appearance is, according to the Vata, the result of an ancient sin, for which they and their children and their children’s children will always be held accountable. Due to their appearance they have often been persecuted throughout the millennia since the fall. However in modern times such practices are generally illegal and looked down upon. Their numbers are small and they have a similar birth rate and life expectancy to their Vatan cousins. About 5% of the world's population is Infernal.
It is said that the length of an Infernal's horns are an indicator of their power, though some theorize that the horns simply continue to grow their entire lives. Whatever the case, horn length does generally correlate to the wisdom and strength of the individual. However there are those who have made a trade out of the selling of infernal horns, and they fetch quite a price on the black market. The longer they are the more expensive they sell for, although that price comes with the risk of obtaining them.","Initially your horns are small and barely noticable, but when you level up your horns grow",12,3,14,1,,9,,1,3,power,40,stat,6,9,42,57,attribute,2,focus,2,focus,7,attribute,7,focus,1,focus,9,attribute,9,power,41,,,power,42,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/infernal1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/infernal2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/infernal3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/infernal4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/infernal5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/infernal6.jpg
1,1,9,Ferali: Ape,"The Ferali people come in a huge abundance of shapes and forms called Clans. According to history the original Ferali were genetically modified humans designed to be warriors prior to the fall. Ferali have traits of both humans and beasts from humanity's original planet resulting in them displaying the largest variety of shapes and sizes of any race. Depending on Clan and animal species, Ferali can stand anywhere from 1 m to 2.5 m (4 to 8 ft) and weigh 30 to 160 kg (70 to 350 lbs). About 10% of the world's population are Ferali.
The Ferali often do not see themselves as one race, but instead a group of subraces that they call Clans. Within the Clan, all members are family and the bonds between Clan members are strong. Some Ferali find it difficult to regulate their emotions and instincts and tend to avoid large populations of people resulting in many city dwellers to view the Ferali as uncivilized and dangerous.
The Ape Clan are strong and intelligent, the most likely of all the Clans to rely on tools and weapons and as such are the most well rounded of all the Ferali Clans. The most common Clan species are Chimpanzees, Orangutans, Gibbons, and Gorillas.",,16,3,11,1,,2,8,1,,power,7,,,,,,,,,,,,,,,,,,,,power,13,,,power,22,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliApe1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliApe2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliApe3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliApe4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliApe5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliApe6.jpg
1,1,10,Ferali: Bear,"The Ferali people come in a huge abundance of shapes and forms called Clans. According to history the original Ferali were genetically modified humans designed to be warriors prior to the fall. Ferali have traits of both humans and beasts from humanity's original planet resulting in them displaying the largest variety of shapes and sizes of any race. Depending on Clan and animal species, Ferali can stand anywhere from 1 m to 2.5 m (4 to 8 ft) and weigh 30 to 160 kg (70 to 350 lbs). About 10% of the world's population are Ferali.
The Ferali often do not see themselves as one race, but instead a group of subraces that they call Clans. Within the Clan, all members are family and the bonds between Clan members are strong. Some Ferali find it difficult to regulate their emotions and instincts and tend to avoid large populations of people resulting in many city dwellers to view the Ferali as uncivilized and dangerous.
The Bear Clan are strong and durable and make excellent warriors and laborers. Their naturally thick skin and fur provides them with some protection from all damage sources. The most common Clan species are Grizzly, Polar, Sun, and Panda.",,21,3,8,2,3,1,2,1,,power,8,,,,,,,,,,,,,,,,,,,,power,14,,,power,23,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliBear1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliBear2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliBear3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliBear4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliBear5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliBear6.jpg
