id,name,description,recommendedAttributes/0,recommendedAttributes/1,recommendedAttributes/2,recommendedStats/0,recommendedStats/1,requirements/0,requirements/1,requirements/2,ranks/0/type,ranks/0/id,ranks/1/type,ranks/1/id,ranks/2/type,ranks/2/id,ranks/3/type,ranks/3/id,ranks/4/type,ranks/4/id,ranks/5/type,ranks/5/id,ranks/6/type,ranks/6/id,ranks/7/type,ranks/7/id,ranks/8/type,ranks/8/id
1,Alchemist,"Using alteration, crafting, and alchemy to  create and prepare explosives, granades, and more. Change iron to steel, copper to gold.",Int,Acc,Dex,MP,Spd,Successfully disassemble a grenade and learn the base elements used to make it.,Successfully cast 3 spells with the aide of your Alchemical Formulae during combat.,Modify grenades with your alchemical spells to create 3 new and unique grenade types,power,,,,,,,,,,power,,power,,,,power,
2,Assassin,"Focuses on stealth, silence, and one-shot kills.",Dex,Acc,Per,Spd,HP,Successfully perform 3 sneak attacks,Assassinate and kill a target with a sneak attack on 3 separate occasions.,Assassinate and kill a public or famous figure without being caught.,power,,,,,,,,,,,,,,,,,
3,Barbarian,"Less is more, they seek victory by brute strength alone. No trickery here.",Str,End,Acc,HP,Spd,"Avoid the use of any advanced tech, computerized tech, or any technology that runs off of energy cells and do not cast spells.",Avoid the use of any technology or tool that is intricate in design or would confuse a barbarian. & Must be able to charge attack.,"Smash a confusing technological device worth at least 100,000 Credits.",power,,,,,,,,,,,,,,,,,
4,Bard,Influencing others is the way to play. Use story and song to save the day.,Cha,Dex,Hrt,Spd,HP,"Know how to play an instrument, and successfully make a Cha (Performance) test to please a small crowd of 5 people.",Successfully make a Cha (Performance) test to please a crowd of 50 or more people.,Successfully make a Cha (Performance) test to please a crowd of 500 or more people. At least one public figure or famous person must be in attendance.,,,,,,,,,,,,,,,,,,
5,Beastmaster,Let your animal friends do all the dirty work. Gotta catch em all! ,Hrt,Wis,Dex,MP,HP,Successfully have tamed at least one creature (see Animal Taming talent),Currently are travelling with at least 2 tamed creatures. (see Animal Taming talent),Successfully have tamed a Dire Threat creature.,,,,,power,,,,,,,,,,,,,
6,Berserker,"Rage fuels these mighty warriros, they can ignore pain, and they fight to the end past what would kill a normal warrior.",Str,Hrt,End,HP,Spd,Attack and kill a creature that enraged you.,"Survive a battle in which you were outnumbered, frenzied, and with less than 1/4 of your max HP remaining",Survive a combat encounter vs at least 5 opponants in which you were frenzied and dealt the finishing blow to all of the enemies.,,,,,,,,,,,,,,,,,,
7,Blood Mage,Bloodmages have found a way to cast their spells without relying on MP. By using blood they gain power and manipulate arcana.,Int,Wis,Cha,HP,Spd,"Drain the blood of a person, and use it to fuel your spells.",Fully submerge yourself in blood while resting for 8 hours and awaken Well Rested,In a single encounter cast Blood Mage spells with the sum of their MP costs totaling 100 or more.,,,power,,,,,,,,,,,,,,,
8,Blooded,"The blooded absorb power from the flesh & blood of those they have slain. They are often associated with serial killers and cannibals, however some choose to only eat the flesh of animals and creatures.",End,Dex,Hrt,HP,Spd,Consume the raw flesh and blood of a creature you have slain.,Consume the flesh of at least 5 people OR completely consume a creature of Major threat or higher,Consume the flesh of at least 50 people OR completely consume a creature of Dire threat or higher,,,power,,power,,,,,,,,,,,,,
9,Champion,"Rallying their allies on the battlefield, the champion gives even the worst outcomes hope.",End,Hrt,Dex,HP,Spd,Inspire a disheartened character to have hope. ,Rally and protect an ally that has entered a dying state. Do not let them die.,Successfully champion your team to victory after at least 3 teammates fall into a dying state.,,,,,power,,,,,,,,,,,,,
10,Cleric,"The worlds greatest healers, able to mend bones, cure disease, and even prevent death.",Int,End,Hrt,MP,HP,"Heal a non party member who is injured, sick, or in pain.",Help others recover a total of 150 recovered HP.,Save 5 total people who were on the brink of death with your healing.,,,,,power,,,,,,,,,,,,,
