id,creatorId,world/0,name,focusId,spellLevel,specializationId,mpCost,actionType,range,targetArea,description,notes,targetNumber,duration,concentration
1,1,1,Outfit of the Day,58,Basic,,1,Major,,Self,"Once per day change your outfit to match the style of your choice. (the outfit doesn't change per say, but it will be a different color/texture/material)",,9,24 hours,0
2,1,1,Buff,58,Novice,,4,Major,15 m,1 Target,"Choose one of the following to cast on an ally.
A) increase movement speed by 2, 
B) increase damage dealt by 2, 
C) Increase defense by 1",,13,1 round,1
3,1,1,Nerf,58,Novice,,4,Major,15 m,1 Target,"Choose one of the following to cast on an opponent.
A) decrease movement speed by 2, 
B) decrease damage dealt by 2, 
C) decrease defense by 1",,13,1 round,1
4,1,1,Transmute: Texture,58,Novice,1,2,Minor,20 m,1 object,"Temporarily make something: soft, slippery, bouncy, cold, hard, translucent, etc.€¦ (transmutations on living creatures will either fail or create an abomination that cannot be undone).",,13,3 rounds,1
5,1,1,Alchemical Formulae,58,Novice,1,1,5 minutes,,2 m radius,"Draw an alchemical formulae on the ground to allow you to greatly enhance your alchemical arcana. (gain +2 towards other transmutations, and when standing in the formulae, you can maintain the transmutations without concentration.) Takes at least 5 minutes to draw. Likewise everything inside of the alchemical formulae is protected as if by a ward from any outside arcana. The ward strength is equal to the TN you rolled for drawing the formulae. If the formulae is physically altered the formulae is broken.",,11,,0
6,1,1,Partial Transformation,58,Novice,46,3,Minor,,Self,Transform part of your body into a creature's body part that you have studied. Consult with the GM the stats of your new body part. (Mass is conserved).,,12,1 Hour,1
7,1,1,Enhance Weapon,58,Novice,50,3,Minor,,Self,Enhance your blade to deal arcane damage instead of physical damage.,,12,,1
8,1,1,Animate Object,58,Adept,,Varies,Minor,25 m,Varies,"You can manipulate objects at distance as if with a pair of invisible, intangible hands which last as long as you concentrate. These hands have the same Accuracy and Dexterity as your own. You can use your normal abilities via Animate Object, limited by your ability to perceive what you are manipulating. Please see the Mass/Volume Modifier table for the target number",,Varies,,1
9,1,1,Repair Machine,58,Adept,,7,Major,10 m,1 Object,Instantly restore a broken or damaged mechanical tool or vehicle back to working condition by magically repairing the parts.,,15,,0
10,1,1,Transmute: Substance,58,Adept,1,6,Major,20 m,1 Object,"Temporarily change the substance of an object. (ex. Water to wine, Lead to Gold). (transmutations on living creatures will either fail or create an abomination that cannot be undone)",,15,3 rounds,1
11,1,1,Transmute: Size,58,Adept,1,6,Major,20 m,1 Object,Temporarily change the size of an object. Size cannot be changed higher than double or lower than half the original size. Mass is conserved however. (transmutations on living creatures will either fail or create an abomination that cannot be undone),,15,3 rounds,1
12,1,1,Complete Transformation,58,Adept,46,8,Minor,,Self,Transform your entire body into a creature that you have studied. Consult with the GM the stats of your new body. (Mass is conserved),,15,1 hour,1
13,1,1,Flesh Shape,58,Adept,46,6,Minor,15 m,1 Target,"Alter the physical appearance of yourself or a willing ally. Changes can be made to the face, skin, hair, or race. (Mass is conserved). This spell lasts for 1 hour, and for every 1 point higher than the target number you may increase that time by an additional hour.",,14,1+ hours,0
14,1,1,Skeleton Key,58,Adept,51,7,Major,Touch,1 Object,"Unlocks any mundane lock immediately. To unlock a supernatural or magical lock, your test result must beat the magic lock's test result.",,14,,0
15,1,1,Hemotheurgy,58,Adept,7,8,Minor,15 m,1 Target,"Temporarily infuse the blood of a willing creature with your arcane blood energy. This grants the target the following bonuses for the remainder of the spell:
+1 Str
+1 Acc
+1 Dex",,15,3 rounds,1
16,1,1,Spell Absorption,58,Master,,16,Major,,Self,"After casting this spell all arcana targeting you have a chance to be absorbed, negating all damage. If your test roll is higher than the incoming spell's then the incoming spell will be negated and you will regain 1/4 of the MP used to cast said spell. Otherwise the incoming spell will hit as normal.",,18,,1
17,1,1,Negation,58,Master,,13,Major,10 m,1 Target,Return the target of your spell to it's natural state by negating any and all spells or enchantments. This can also be used on an arcane construct or conjuration to destabilize and destroy it.,,Varies,,0
18,1,1,Transmutation: Permanence,58,Master,1,10,Minor,20 m,2 Objects,"Cast this spell while either: Transmute: Texture, Substance, or Size is active to make the effect permanent. You must change something of equal value to make it permanent.  (example: To turn an iron sword into gold, you must turn an equivalent amount of gold into iron). ",,20,,0
19,1,1,Equilibrium,58,Master,1,0,Major,Self,Self,Convert your HP into MP or vice versa. ,,13,,0
20,1,1,Ascended Transformation,58,Master,46,12,Major,,Self,Fully transform into a creature of your imagination. You must still have spent a great deal of time meditating on your desired outcome. Consult with the GM the stats of your new body. (Mass is conserved),,17,1 hour,1
21,1,1,Beast Speech,68,Basic,,1,Minor,,Self,"Select a single animal/creature species, you cannot change this once it has been set. You are able to fully understand these creatures as if they were speaking your language. They do not understand you in the same way though.",,9,24 hours,0
22,1,1,Beast Tongue,68,Novice,,2,Major,,Self,Allows you to freely communicate with and understand all animal/creature languages for 1 hour. A higher test result will allow for a more sophisticated conversation. Some species require higher test rolls to communicate with.,,Varies,1 Hour,1
23,1,1,Animalistic Allowance,68,Novice,,3,Major,15 m,1 Creature,You may replace up to 2 attribute scores of yours with the corresponding attribute scores of a tamed creature during the duration of this spell.,,13,5 Rounds,1
24,1,1,Beast Summoning,68,Novice,5,2,Major,Varies,Varies,Send out a call to all animals/creatures in a radius of your Beastmaster level in miles. You can limit this call to one species if you wish. These animals are not under your control and act according to their own nature. The Test Result determines which animals heed your call.,,Varies,,0
25,1,1,Manipulate Vines,68,Novice,14,5,Major,Varies,A single plant within 20 m,"Manipulate a nearby plant and bend it to your will. Plants can be used to make an attack that deals 3d6 physical damage (thorned plants add +4 damage) to one target. These plants can also be used to bind the foe. A target must pass a TN 14 Str (Might) test or be restrained and unable to use their movement, but they still have a major and minor action. The plants must be within 20 m of you.",,14,,1
26,1,1,Enrich Vegetation,68,Novice,14,3,Major,Touch,20+ m,"Imbue the soil under your feet with nutrients and accelerate new growth or reinvigorate existing plants. This may also be used to cure plants suffering from blight or disease as well as kill parasites or pests infesting the area. The area of land you affect is a radius of 20 m beneath your feet and you may increase the area by an additional 10 m for every 1 you roll above the TN. This enrichment lasts 1 week, but you may extend the duration by 1 additional week for every 3 more MP you expend. ",,13,,0
27,1,1,Lingzhi,68,Novice,45,3,Minor,10 m,1 Target,"Cure a single target from the affects of any fungal based affliction, including your own. The difficulty depends on the affliction. You automatically pass the test to cure a target of your own afflictions.",,Varies,,0
28,1,1,Mycelium ,68,Novice,45,3,Minor,Touch,1 Target/ Object,"Infect a surface with mold. The mold spreads at a rate of 1m/turn, or 5m/turn among organic material such as: plant life, wooden materials, linens, etc. As long as you maintain concentration, if a creature makes contact with the mold on one of these surfaces then you will be made aware that something has touched your mold. Mold awareness duration is dependent on concentration, once concentration is broken you must touch the mold again to reestablish the connection.",,14,,1
29,1,1,Beast Sight,68,Adept,,5,Minor,20 m,1 Creature,"You may share your senses and perception with a tamed or willing creature. See through their eyes, hear what they are hearing, feel what they are feeling, etc.",,13,5 Rounds,1
30,1,1,Creature Cure,68,Adept,,6,Major,Touch,1 Creature,"Restore a tamed or willing creature by 4d6 hp or 1 level of fatigue. If you heal a dying creature, they are stabilized at 1 hp instead of receiving health. Creatures that receive any form of magical healing cannot benefit from magical healing again until they take additional damage.",,14,,0
